Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
,,,,,,,,
PPE 2020 Research Methods,08/20/2023,09:50 AM,08/20/2023,11:30 AM,,,AUW,
PPE 2020 Research Methods,08/22/2023,09:50 AM,08/22/2023,11:30 AM,,,AUW,
PPE 2020 Research Methods,08/27/2023,09:50 AM,08/27/2023,11:30 AM,,,AUW,
PPE 2020 Research Methods,08/29/2023,09:50 AM,08/29/2023,11:30 AM,,,AUW,
PPE 2020 Research Methods,09/03/2023,09:50 AM,09/03/2023,11:30 AM,,,AUW,
PPE 2020 Research Methods,09/05/2023,09:50 AM,09/05/2023,11:30 AM,,,AUW,
PPE 2020 Research Methods,09/10/2023,09:50 AM,09/10/2023,11:30 AM,,,AUW,
PPE 2020 Research Methods,09/12/2023,09:50 AM,09/12/2023,11:30 AM,,,AUW,
PPE 2020 Research Methods,09/17/2023,09:50 AM,09/17/2023,11:30 AM,,,AUW,
PPE 2020 Research Methods,09/19/2023,09:50 AM,09/19/2023,11:30 AM,,,AUW,
PPE 2020 Research Methods,09/24/2023,09:50 AM,09/24/2023,11:30 AM,,,AUW,
PPE 2020 Research Methods,09/26/2023,09:50 AM,09/26/2023,11:30 AM,,,AUW,
PPE 2020 Research Methods,10/01/2023,09:50 AM,10/01/2023,11:30 AM,,,AUW,
PPE 2020 Research Methods,10/03/2023,09:50 AM,10/03/2023,11:30 AM,,,AUW,
PPE 2020 Research Methods,10/08/2023,09:50 AM,10/08/2023,11:30 AM,,,AUW,
PPE 2020 Research Methods,10/10/2023,09:50 AM,10/10/2023,11:30 AM,,,AUW,
PPE 2020 Research Methods,10/15/2023,09:50 AM,10/15/2023,11:30 AM,,,AUW,
PPE 2020 Research Methods,10/17/2023,09:50 AM,10/17/2023,11:30 AM,,,AUW,
PPE 2020 Research Methods,10/22/2023,09:50 AM,10/22/2023,11:30 AM,,,AUW,
PPE 2020 Research Methods,10/24/2023,09:50 AM,10/24/2023,11:30 AM,,,AUW,
PPE 2020 Research Methods,10/29/2023,09:50 AM,10/29/2023,11:30 AM,,,AUW,
PPE 2020 Research Methods,10/31/2023,09:50 AM,10/31/2023,11:30 AM,,,AUW,
PPE 2020 Research Methods,11/05/2023,09:50 AM,11/05/2023,11:30 AM,,,AUW,
PPE 2020 Research Methods,11/07/2023,09:50 AM,11/07/2023,11:30 AM,,,AUW,
PPE 2020 Research Methods,11/12/2023,09:50 AM,11/12/2023,11:30 AM,,,AUW,
PPE 2020 Research Methods,11/14/2023,09:50 AM,11/14/2023,11:30 AM,,,AUW,
PPE 2020 Research Methods,11/19/2023,09:50 AM,11/19/2023,11:30 AM,,,AUW,
PPE 2020 Research Methods,11/21/2023,09:50 AM,11/21/2023,11:30 AM,,,AUW,
PPE 2020 Research Methods,11/26/2023,09:50 AM,11/26/2023,11:30 AM,,,AUW,
PPE 2020 Research Methods,11/28/2023,09:50 AM,11/28/2023,11:30 AM,,,AUW,
PPE 2020 Research Methods,12/03/2023,09:50 AM,12/03/2023,11:30 AM,,,AUW,
PPE 2020 Research Methods,12/05/2023,09:50 AM,12/05/2023,11:30 AM,,,AUW,
Office hours,08/21/2023,02:00 PM,08/21/2023,05:00 PM,,,AUW,
Office hours,08/23/2023,02:00 PM,08/23/2023,05:00 PM,,,AUW,
Office hours,08/28/23,02:00 PM,08/28/2023,05:00 PM,,,AUW,
Office hours,08/30/23,02:00 PM,08/30/2023,05:00 PM,,,AUW,
Office hours,09/04/23,02:00 PM,09/04/2023,05:00 PM,,,AUW,
Office hours,09/06/23,02:00 PM,09/06/2023,05:00 PM,,,AUW,
Office hours,09/11/23,02:00 PM,09/11/2023,05:00 PM,,,AUW,
Office hours,09/13/23,02:00 PM,09/13/2023,05:00 PM,,,AUW,
Office hours,09/18/23,02:00 PM,09/18/2023,05:00 PM,,,AUW,
Office hours,09/20/23,02:00 PM,09/20/2023,05:00 PM,,,AUW,
Office hours,09/25/23,02:00 PM,09/25/2023,05:00 PM,,,AUW,
Office hours,09/27/23,02:00 PM,09/27/2023,05:00 PM,,,AUW,
Office hours,10/02/23,02:00 PM,10/02/2023,05:00 PM,,,AUW,
Office hours,10/04/23,02:00 PM,10/04/2023,05:00 PM,,,AUW,
Office hours,10/09/23,02:00 PM,10/09/2023,05:00 PM,,,AUW,
Office hours,10/11/23,02:00 PM,10/11/2023,05:00 PM,,,AUW,
Office hours,10/16/23,02:00 PM,10/16/2023,05:00 PM,,,AUW,
Office hours,10/18/23,02:00 PM,10/18/2023,05:00 PM,,,AUW,
Office hours,10/23/23,02:00 PM,10/23/2023,05:00 PM,,,AUW,
Office hours,10/25/23,02:00 PM,10/25/2023,05:00 PM,,,AUW,
Office hours,10/30/23,02:00 PM,10/30/2023,05:00 PM,,,AUW,
Office hours,11/01/23,02:00 PM,11/01/2023,05:00 PM,,,AUW,
Office hours,11/06/23,02:00 PM,11/06/2023,05:00 PM,,,AUW,
Office hours,11/08/23,02:00 PM,11/08/2023,05:00 PM,,,AUW,
Office hours,11/13/23,02:00 PM,11/13/2023,05:00 PM,,,AUW,
Office hours,11/15/23,02:00 PM,11/15/2023,05:00 PM,,,AUW,
Office hours,11/20/23,02:00 PM,11/20/2023,05:00 PM,,,AUW,
Office hours,11/22/23,02:00 PM,11/22/2023,05:00 PM,,,AUW,
Office hours,11/27/23,02:00 PM,11/27/2023,05:00 PM,,,AUW,
Office hours,11/29/23,02:00 PM,11/29/2023,05:00 PM,,,AUW,
Office hours,12/04/23,02:00 PM,12/04/2023,05:00 PM,,,AUW,
Office hours,12/06/23,02:00 PM,12/06/2023,05:00 PM,,,AUW,
Office hours,12/11/23,02:00 PM,12/11/2023,05:00 PM,,,AUW,
Office hours,12/13/23,02:00 PM,12/13/2023,05:00 PM,,,AUW,
PPE 3500 IPE,08/20/2023,01:40 PM,08/20/2023,03:20 PM,,,AUW,
PPE 3500 IPE,08/22/2023,01:40 PM,08/22/2023,03:20 PM,,,AUW,
PPE 3500 IPE,08/27/2023,01:40 PM,08/27/2023,03:20 PM,,,AUW,
PPE 3500 IPE,08/29/2023,01:40 PM,08/29/2023,03:20 PM,,,AUW,
PPE 3500 IPE,09/03/2023,01:40 PM,09/03/2023,03:20 PM,,,AUW,
PPE 3500 IPE,09/05/2023,01:40 PM,09/05/2023,03:20 PM,,,AUW,
PPE 3500 IPE,09/10/2023,01:40 PM,09/10/2023,03:20 PM,,,AUW,
PPE 3500 IPE,09/12/2023,01:40 PM,09/12/2023,03:20 PM,,,AUW,
PPE 3500 IPE,09/17/2023,01:40 PM,09/17/2023,03:20 PM,,,AUW,
PPE 3500 IPE,09/19/2023,01:40 PM,09/19/2023,03:20 PM,,,AUW,
PPE 3500 IPE,09/24/2023,01:40 PM,09/24/2023,03:20 PM,,,AUW,
PPE 3500 IPE,09/26/2023,01:40 PM,09/26/2023,03:20 PM,,,AUW,
PPE 3500 IPE,10/01/2023,01:40 PM,10/01/2023,03:20 PM,,,AUW,
PPE 3500 IPE,10/03/2023,01:40 PM,10/03/2023,03:20 PM,,,AUW,
PPE 3500 IPE,10/08/2023,01:40 PM,10/08/2023,03:20 PM,,,AUW,
PPE 3500 IPE,10/10/2023,01:40 PM,10/10/2023,03:20 PM,,,AUW,
PPE 3500 IPE,10/15/2023,01:40 PM,10/15/2023,03:20 PM,,,AUW,
PPE 3500 IPE,10/17/2023,01:40 PM,10/17/2023,03:20 PM,,,AUW,
PPE 3500 IPE,10/22/2023,01:40 PM,10/22/2023,03:20 PM,,,AUW,
PPE 3500 IPE,10/24/2023,01:40 PM,10/24/2023,03:20 PM,,,AUW,
PPE 3500 IPE,10/29/2023,01:40 PM,10/29/2023,03:20 PM,,,AUW,
PPE 3500 IPE,10/31/2023,01:40 PM,10/31/2023,03:20 PM,,,AUW,
PPE 3500 IPE,11/05/2023,01:40 PM,11/05/2023,03:20 PM,,,AUW,
PPE 3500 IPE,11/07/2023,01:40 PM,11/07/2023,03:20 PM,,,AUW,
PPE 3500 IPE,11/12/2023,01:40 PM,11/12/2023,03:20 PM,,,AUW,
PPE 3500 IPE,11/14/2023,01:40 PM,11/14/2023,03:20 PM,,,AUW,
PPE 3500 IPE,11/19/2023,01:40 PM,11/19/2023,03:20 PM,,,AUW,
PPE 3500 IPE,11/21/2023,01:40 PM,11/21/2023,03:20 PM,,,AUW,
PPE 3500 IPE,11/26/2023,01:40 PM,11/26/2023,03:20 PM,,,AUW,
PPE 3500 IPE,11/28/2023,01:40 PM,11/28/2023,03:20 PM,,,AUW,
PPE 3500 IPE,12/03/2023,01:40 PM,12/03/2023,03:20 PM,,,AUW,
PPE 3500 IPE,12/05/2023,01:40 PM,12/05/2023,03:20 PM,,,AUW,
PPE 3105 IR,08/20/2023,03:30 PM,08/20/2023,05:10 PM,,,AUW,
PPE 3105 IR,08/22/2023,03:30 PM,08/22/2023,05:10 PM,,,AUW,
PPE 3105 IR,08/27/2023,03:30 PM,08/27/2023,05:10 PM,,,AUW,
PPE 3105 IR,08/29/2023,03:30 PM,08/29/2023,05:10 PM,,,AUW,
PPE 3105 IR,09/03/2023,03:30 PM,09/03/2023,05:10 PM,,,AUW,
PPE 3105 IR,09/05/2023,03:30 PM,09/05/2023,05:10 PM,,,AUW,
PPE 3105 IR,09/10/2023,03:30 PM,09/10/2023,05:10 PM,,,AUW,
PPE 3105 IR,09/12/2023,03:30 PM,09/12/2023,05:10 PM,,,AUW,
PPE 3105 IR,09/17/2023,03:30 PM,09/17/2023,05:10 PM,,,AUW,
PPE 3105 IR,09/19/2023,03:30 PM,09/19/2023,05:10 PM,,,AUW,
PPE 3105 IR,09/24/2023,03:30 PM,09/24/2023,05:10 PM,,,AUW,
PPE 3105 IR,09/26/2023,03:30 PM,09/26/2023,05:10 PM,,,AUW,
PPE 3105 IR,10/01/2023,03:30 PM,10/01/2023,05:10 PM,,,AUW,
PPE 3105 IR,10/03/2023,03:30 PM,10/03/2023,05:10 PM,,,AUW,
PPE 3105 IR,10/08/2023,03:30 PM,10/08/2023,05:10 PM,,,AUW,
PPE 3105 IR,10/10/2023,03:30 PM,10/10/2023,05:10 PM,,,AUW,
PPE 3105 IR,10/15/2023,03:30 PM,10/15/2023,05:10 PM,,,AUW,
PPE 3105 IR,10/17/2023,03:30 PM,10/17/2023,05:10 PM,,,AUW,
PPE 3105 IR,10/22/2023,03:30 PM,10/22/2023,05:10 PM,,,AUW,
PPE 3105 IR,10/24/2023,03:30 PM,10/24/2023,05:10 PM,,,AUW,
PPE 3105 IR,10/29/2023,03:30 PM,10/29/2023,05:10 PM,,,AUW,
PPE 3105 IR,10/31/2023,03:30 PM,10/31/2023,05:10 PM,,,AUW,
PPE 3105 IR,11/05/2023,03:30 PM,11/05/2023,05:10 PM,,,AUW,
PPE 3105 IR,11/07/2023,03:30 PM,11/07/2023,05:10 PM,,,AUW,
PPE 3105 IR,11/12/2023,03:30 PM,11/12/2023,05:10 PM,,,AUW,
PPE 3105 IR,11/14/2023,03:30 PM,11/14/2023,05:10 PM,,,AUW,
PPE 3105 IR,11/19/2023,03:30 PM,11/19/2023,05:10 PM,,,AUW,
PPE 3105 IR,11/21/2023,03:30 PM,11/21/2023,05:10 PM,,,AUW,
PPE 3105 IR,11/26/2023,03:30 PM,11/26/2023,05:10 PM,,,AUW,
PPE 3105 IR,11/28/2023,03:30 PM,11/28/2023,05:10 PM,,,AUW,
PPE 3105 IR,12/03/2023,03:30 PM,12/03/2023,05:10 PM,,,AUW,
PPE 3105 IR,12/05/2023,03:30 PM,12/05/2023,05:10 PM,,,AUW,
